"","Periodo","DuctoId","Anio_Res","Numero","FechaResolucion","ResolucionVigente","TablaDecretoSupremoId","TablaDecretoSupremoGlosa","GlosaNormaEmision","Sigla"
"1",202201,1019,2020,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SMA"
"2",202201,335,2009,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SISS"
"3",202201,351,2010,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SISS"
"4",202201,321,2019,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SMA"
"5",202201,988,2019,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SMA"
"6",202201,251,2011,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SISS"
"7",202201,308,2006,11111,"2022-08-01",TRUE,1,"Tabla 1","DS 90","SISS"
"8",202201,292,2009,11111,"2022-08-01",TRUE,2,"Tabla 2","DS 90","SISS"
