"","EstablecimientoNombre","EstablecimientoRetc","DuctoId","NombreDucto","Informa","EfectuaDescarga","GlosaParametro","FrecuenciaExigida","ApruebaFrecuencia","PresentaRemuestra","ParametrosBajoNorma","FechaVerificacion"
"48","Empresa F",11483,308,"Ducto 308","SI","SI","Zinc",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"49","Empresa F",11483,308,"Ducto 308","SI","SI","Caudal",2,1,"NO APLICA","SI","2022-05-31 12:12:53"
"50","Empresa G",80520,251,"Ducto 251","SI","SI","Sólidos Suspendidos Totales",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"51","Empresa G",80520,251,"Ducto 251","SI","SI","Arsénico",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"52","Empresa G",80520,251,"Ducto 251","SI","SI","DBO5",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"53","Empresa G",80520,251,"Ducto 251","SI","SI","Coliformes Fecales o Termotolerantes",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"54","Empresa G",80520,251,"Ducto 251","SI","SI","Fluoruro",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"55","Empresa G",80520,251,"Ducto 251","SI","SI","Poder Espumógeno",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"56","Empresa G",80520,251,"Ducto 251","SI","SI","Fósforo",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"57","Empresa G",80520,251,"Ducto 251","SI","SI","Triclorometano",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"58","Empresa G",80520,251,"Ducto 251","SI","SI","Temperatura",12,1,"NO APLICA","SI","2022-05-31 12:12:53"
"59","Empresa G",80520,251,"Ducto 251","SI","SI","Aceites y Grasas",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"60","Empresa G",80520,251,"Ducto 251","SI","SI","Zinc",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"61","Empresa G",80520,251,"Ducto 251","SI","SI","Nitrógeno Total  Kjeldahl",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"62","Empresa G",80520,251,"Ducto 251","SI","SI","Aluminio",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"63","Empresa G",80520,251,"Ducto 251","SI","SI","Manganeso",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"64","Empresa G",80520,251,"Ducto 251","SI","SI","Hierro Disuelto",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"65","Empresa G",80520,251,"Ducto 251","SI","SI","Sulfato",1,1,"NO APLICA","SI","2022-05-31 12:12:53"
"66","Empresa G",80520,251,"Ducto 251","SI","SI","pH",12,1,"NO APLICA","SI","2022-05-31 12:12:53"
